Name;;;F900;XL;eingemietet;Total Flugzeuge;;E6;SP;SC;;Total Helikopter;;BR / Dep.
BR;E11;Bundesrat;;;;;;06:15:00;;03:16:00;;09:31:00;;09:31:00
Leer;E11L;Leerflüge alle;26:46:00;05:29:00;;32:15:00;;03:51:00;;;;03:51:00;;36:06:00
Leer 2;E11P;Leerflüge Pos;05:39:00;01:06:00;;06:45:00;;09:33:00;;01:03:00;;10:36:00;;17:21:00
Cassis Ignazio;E11A;EDA;39:59:00;03:12:00;02:40:00;45:51:00;;02:01:00;01:28:00;04:50:00;;08:19:00;;54:10:00
Maurer Ueli;E11F;EFD;21:58:00;13:43:00;;35:41:00;;00:56:00;;00:44:00;;01:40:00;;37:21:00
Berset Alain;E11I;EDI;12:54:00;02:56:00;;15:50:00;;29:34:00;01:32:00;12:48:00;;43:54:00;;59:44:00
Sommaruga Simonetta;E11J;EJPD;27:20:00;15:46:00;02:16:00;45:22:00;;01:45:00;;;;01:45:00;;47:07:00
Leuthard Doris;E11U;UVEK;72:54:00;15:02:00;12:10:00;100:06:00;;16:52:00;;01:51:00;;18:43:00;;118:49:00
Parmelin Guy;E11V;VBS;24:36:00;06:35:00;;31:11:00;;05:33:00;;15:34:00;;21:07:00;;52:18:00
Schneider-Ammann Johann;E11W;WBF;128:19:00;05:20:00;;133:39:00;;45:01:00;03:14:00;08:48:00;;57:03:00;;190:42:00
