close,date,high,low,marketcap,open,volume
0.103999,"Oct 15, 2018",0.108698,0.096293,"277,171,895",0.096935,"12,130,600"
0.097095,"Oct 14, 2018",0.100117,0.097052,"258,749,874",0.098550,"3,110,110"
0.098396,"Oct 13, 2018",0.099752,0.097750,"262,196,621",0.098623,"2,635,240"
0.098447,"Oct 12, 2018",0.099304,0.093882,"262,311,047",0.096356,"4,619,780"
0.096400,"Oct 11, 2018",0.109972,0.096231,"256,835,362",0.109817,"9,224,970"
0.109894,"Oct 10, 2018",0.110527,0.108144,"292,763,111",0.110152,"4,129,600"
0.110428,"Oct 09, 2018",0.112374,0.109725,"294,161,419",0.112209,"3,041,980"
0.111765,"Oct 08, 2018",0.112597,0.110164,"297,698,372",0.111049,"3,273,560"
0.111122,"Oct 07, 2018",0.111261,0.109437,"295,962,335",0.110051,"2,710,160"
0.109893,"Oct 06, 2018",0.111985,0.109482,"292,664,840",0.111985,"3,766,750"
0.111513,"Oct 05, 2018",0.112593,0.110437,"296,954,658",0.111801,"3,584,170"
0.111429,"Oct 04, 2018",0.112774,0.109257,"296,706,455",0.109257,"3,791,380"
0.109191,"Oct 03, 2018",0.112247,0.107750,"290,723,221",0.112247,"4,028,700"
0.112213,"Oct 02, 2018",0.113411,0.111690,"298,744,670",0.111737,"3,591,560"
0.112011,"Oct 01, 2018",0.114907,0.110527,"298,182,243",0.114054,"3,992,560"
0.114236,"Sep 30, 2018",0.115969,0.112902,"304,080,239",0.114236,"3,648,500"
0.114323,"Sep 29, 2018",0.115196,0.112523,"304,286,670",0.114361,"6,769,320"
0.114441,"Sep 28, 2018",0.119021,0.114067,"304,575,566",0.118086,"5,181,490"
0.118127,"Sep 27, 2018",0.119162,0.111696,"314,359,572",0.114358,"5,845,670"
0.114634,"Sep 26, 2018",0.117184,0.111352,"305,038,781",0.111835,"5,409,460"
0.111861,"Sep 25, 2018",0.117829,0.108677,"297,635,274",0.117829,"8,350,970"
0.117559,"Sep 24, 2018",0.125066,0.116577,"312,770,422",0.124660,"7,943,720"
0.124547,"Sep 23, 2018",0.128378,0.122635,"331,334,875",0.123565,"7,885,200"
0.123283,"Sep 22, 2018",0.129370,0.121050,"327,945,108",0.127529,"10,992,200"
0.127156,"Sep 21, 2018",0.127261,0.121244,"338,219,701",0.121836,"11,236,700"
0.121634,"Sep 20, 2018",0.121891,0.115038,"323,506,301",0.115141,"5,963,060"
0.115227,"Sep 19, 2018",0.115621,0.111305,"306,440,445",0.115118,"5,234,890"
0.115151,"Sep 18, 2018",0.116911,0.109296,"306,212,994",0.109346,"7,211,650"
0.109282,"Sep 17, 2018",0.120066,0.108887,"290,581,931",0.117872,"6,901,020"
0.117876,"Sep 16, 2018",0.119159,0.114024,"313,407,530",0.118079,"6,552,720"
0.117849,"Sep 15, 2018",0.120898,0.108198,"313,309,816",0.109650,"8,813,720"
0.109555,"Sep 14, 2018",0.110772,0.102238,"291,033,953",0.103354,"12,869,200"
0.103472,"Sep 13, 2018",0.103622,0.098344,"274,874,403",0.098442,"9,805,830"
0.098223,"Sep 12, 2018",0.101306,0.090572,"260,930,382",0.100797,"9,069,600"
0.100948,"Sep 11, 2018",0.102086,0.100009,"268,169,371",0.100010,"7,593,040"
0.099916,"Sep 10, 2018",0.103220,0.099121,"265,428,384",0.101794,"8,111,150"
0.101517,"Sep 09, 2018",0.102890,0.099498,"269,680,926",0.100023,"8,075,720"
0.099936,"Sep 08, 2018",0.104406,0.098606,"265,481,780",0.103851,"8,264,680"
0.103903,"Sep 07, 2018",0.105139,0.102883,"276,019,359",0.104293,"8,918,020"
0.104293,"Sep 06, 2018",0.104293,0.098027,"277,055,397",0.102712,"10,403,500"
0.102871,"Sep 05, 2018",0.123485,0.102871,"273,262,410",0.122012,"12,215,900"
0.122238,"Sep 04, 2018",0.124856,0.120934,"324,681,241",0.121506,"5,491,800"
0.121352,"Sep 03, 2018",0.123667,0.119218,"322,301,204",0.123287,"5,303,280"
0.122872,"Sep 02, 2018",0.125949,0.120308,"326,311,170",0.125793,"8,447,490"
0.125792,"Sep 01, 2018",0.127662,0.117787,"334,038,140",0.118132,"8,338,040"
0.117999,"Aug 31, 2018",0.118148,0.113074,"313,318,025",0.114187,"6,049,440"
0.113470,"Aug 30, 2018",0.118792,0.109620,"301,266,254",0.118792,"6,208,880"
0.118611,"Aug 29, 2018",0.121831,0.115890,"314,889,669",0.119773,"8,701,020"
0.119701,"Aug 28, 2018",0.120394,0.111058,"317,757,078",0.111902,"9,854,810"
0.111603,"Aug 27, 2018",0.111603,0.105559,"296,235,655",0.105760,"5,016,210"
0.106092,"Aug 26, 2018",0.108212,0.104444,"281,584,082",0.107580,"3,747,060"
0.107659,"Aug 25, 2018",0.109993,0.106115,"285,719,450",0.107158,"4,400,240"
0.107364,"Aug 24, 2018",0.107642,0.104098,"284,911,847",0.105442,"3,826,110"
0.104990,"Aug 23, 2018",0.105576,0.101782,"278,588,865",0.102217,"4,604,280"
0.102131,"Aug 22, 2018",0.111934,0.099919,"270,978,054",0.105017,"7,187,900"
0.105138,"Aug 21, 2018",0.107310,0.100842,"278,922,703",0.104145,"6,833,200"
0.103495,"Aug 20, 2018",0.114371,0.103495,"274,530,837",0.112741,"5,514,040"
