close,date,high,low,marketcap,open,volume
1.84,"Oct 15, 2018",1.96,1.78,"244,814,417",1.81,"5,396,030"
1.81,"Oct 14, 2018",1.87,1.81,"241,637,778",1.85,"2,137,370"
1.84,"Oct 13, 2018",1.89,1.82,"245,704,515",1.88,"2,033,460"
1.87,"Oct 12, 2018",1.91,1.76,"248,743,909",1.78,"2,988,930"
1.80,"Oct 11, 2018",2.16,1.76,"239,982,834",2.16,"7,994,340"
2.17,"Oct 10, 2018",2.19,2.11,"288,793,015",2.17,"3,339,100"
2.18,"Oct 09, 2018",2.23,2.15,"289,852,339",2.22,"2,379,860"
2.22,"Oct 08, 2018",2.24,2.13,"295,991,087",2.16,"3,412,750"
2.15,"Oct 07, 2018",2.18,2.11,"286,215,993",2.17,"1,471,170"
2.16,"Oct 06, 2018",2.22,2.14,"287,363,260",2.20,"2,080,280"
2.20,"Oct 05, 2018",2.21,2.16,"293,320,791",2.17,"2,247,670"
2.18,"Oct 04, 2018",2.23,2.16,"290,208,111",2.17,"2,994,850"
2.17,"Oct 03, 2018",2.18,2.07,"288,649,106",2.17,"4,048,960"
2.17,"Oct 02, 2018",2.26,2.17,"289,793,709",2.25,"2,789,360"
2.26,"Oct 01, 2018",2.32,2.18,"300,891,959",2.23,"4,488,030"
2.24,"Sep 30, 2018",2.27,2.20,"298,444,188",2.22,"3,399,510"
2.23,"Sep 29, 2018",2.27,2.17,"296,645,336",2.27,"9,375,090"
2.27,"Sep 28, 2018",2.38,2.24,"302,838,717",2.35,"9,256,420"
2.34,"Sep 27, 2018",2.38,2.20,"311,890,273",2.22,"9,294,940"
2.22,"Sep 26, 2018",2.34,2.17,"295,781,887",2.25,"11,663,700"
2.23,"Sep 25, 2018",2.24,2.07,"297,260,943",2.21,"11,931,900"
2.25,"Sep 24, 2018",2.43,2.22,"299,639,425",2.40,"12,236,600"
2.40,"Sep 23, 2018",2.46,2.34,"319,578,699",2.39,"11,474,900"
2.39,"Sep 22, 2018",2.62,2.32,"318,375,467",2.58,"14,555,300"
2.58,"Sep 21, 2018",2.68,2.49,"343,444,800",2.58,"18,733,700"
2.58,"Sep 20, 2018",2.65,2.30,"343,875,192",2.30,"19,894,500"
2.30,"Sep 19, 2018",2.39,2.17,"306,828,171",2.37,"14,434,000"
2.38,"Sep 18, 2018",2.44,2.16,"316,949,711",2.16,"15,786,700"
