,Ort,Stärke:
0,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
1,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
2,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
3,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
4,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
5,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
6,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
7,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
8,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
9,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
10,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
11,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
12,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
13,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
14,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
15,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
16,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
17,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
18,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
19,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
20,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
21,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
22,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
23,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
24,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
25,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
26,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
27,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
28,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
29,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
30,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
31,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
32,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
33,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
34,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
35,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
36,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
